model,AggregationKind,Cardinality,Class,Classifier,ClassStereotype,ClassView,ConnectorView,DecoratableElement,Diagram,DiagramElement,ElementView,Generalization,GeneralizationSet,GeneralizationSetView,GeneralizationView,Literal,ModelElement,NodeView,Note,NoteView,OntologicalNature,OntoumlElement,Package,PackageView,Path,Point,Project,Property,PropertyStereotype,Rectangle,RectangularShape,Relation,RelationStereotype,RelationView,Shape,Stereotype,Text,Class_isExtensional_True,Class_isExtensional_False,Class_isPowertype_True,Class_isPowertype_False,Class_isAbstract_True,Class_isAbstract_False,Class_isDerived_True,Class_isDerived_False,Relation_isAbstract_True,Relation_isAbstract_False,Relation_isDerived_True,Relation_isDerived_False,GeneralizationSet_isComplete_True,GeneralizationSet_isComplete_False,GeneralizationSet_isDisjoint_True,GeneralizationSet_isDisjoint_False,Property_isOrdered_True,Property_isOrdered_False,Property_isReadOnly_True,Property_isReadOnly_False,Property_isDerived_True,Property_isDerived_False
bank-account2013,0,24,18,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,12,0,0,0,0,0,0,8,0,18,0,18,0,18,0,12,0,12,0,0,0,0,0,26,11,15,0,26
bank-model,0,28,23,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,14,0,0,0,0,0,0,12,0,23,1,22,0,23,0,14,3,11,0,0,0,0,0,31,7,24,0,31
barcelos2013normative-acts,0,36,45,0,0,0,0,0,0,0,0,27,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,18,0,0,0,0,0,0,32,0,45,0,45,0,45,0,18,0,18,9,1,9,1,0,55,22,33,0,55
barcelos2015transport-networks,0,696,487,0,0,0,0,0,0,0,0,608,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,348,0,0,0,0,0,0,366,0,487,0,487,0,487,0,348,125,223,70,8,72,6,0,700,266,434,0,700
barros2020programming,0,0,12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bernasconi2021ontovcm,0,134,76,0,0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,67,0,0,0,0,0,0,35,0,76,7,69,0,76,0,67,0,67,1,1,2,0,0,162,51,111,2,160
bernasconi2023fair-principles,0,58,46,0,0,0,0,0,0,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,29,0,0,0,0,0,0,32,0,46,4,42,0,46,0,29,0,29,2,0,2,0,0,58,21,37,0,58
brazilian-governmental-organizational-structures,0,14,15,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,0,0,0,0,0,0,10,0,15,4,11,0,15,0,7,0,7,5,0,4,1,0,14,0,14,0,14
buchtela2020connection,0,26,19,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,13,0,0,0,0,0,0,13,0,19,0,19,0,19,0,13,0,13,5,1,6,0,0,26,0,26,0,26
buridan-ontology2021,0,106,54,0,0,0,0,0,0,0,0,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,53,0,0,0,0,0,0,33,0,54,2,52,0,54,0,53,0,53,0,4,0,4,0,108,23,85,0,108
carolla2014campus-management,0,46,17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,23,0,0,0,0,0,0,5,0,17,0,17,0,17,0,23,5,18,0,0,0,0,0,46,0,46,0,46
castro2012cloudvulnerability,0,54,32,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,27,0,0,0,0,0,0,15,0,32,0,32,0,32,0,27,2,25,3,1,4,0,0,54,13,41,0,54
cgts2021sebim,0,22,29,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,11,0,0,0,0,0,0,20,0,29,1,28,0,29,0,11,1,10,0,0,0,0,0,26,2,24,0,26
chartered-service,0,28,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,14,0,0,0,0,0,0,7,0,11,0,11,0,11,0,14,0,14,0,0,0,0,0,28,7,21,0,28
clergy-ontology,0,66,29,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,33,0,0,0,0,0,0,21,0,29,0,29,0,29,0,33,6,27,1,0,1,0,0,66,14,52,0,66
